playerID,nameFirst,nameLast,birthYear,birthMonth,fullName
agnewsa01,Sam,Agnew,1887,4,Sam Agnew
agnosza01,Zach,Agnos,2000,8,Zach Agnos
agostju01,Juan,Agosto,1958,2,Juan Agosto
agrazda01,Dario,Agrazal,1994,12,Dario Agrazal
aguaylu01,Luis,Aguayo,1959,3,Luis Aguayo
aguiaju01,Julian,Aguiar,2001,6,Julian Aguiar
aguilch01,Chris,Aguila,1979,2,Chris Aguila
aguilje01,Jesus,Aguilar,1990,6,Jesus Aguilar
aguilmi01,Miguel,Aguilar,1991,9,Miguel Aguilar
aguilri01,Rick,Aguilera,1961,12,Rick Aguilera
aguilry01,Ryan,Aguilar,1994,9,Ryan Aguilar
aguirha01,Hank,Aguirre,1931,1,Hank Aguirre
ahearch01,Bill,Ahearn,1858,,Bill Ahearn
ahearpa01,Pat,Ahearne,1969,12,Pat Ahearne
ahmedni01,Nick,Ahmed,1990,3,Nick Ahmed
aikenwi01,Willie,Aikens,1954,10,Willie Aikens
aingeda01,Danny,Ainge,1959,3,Danny Ainge
ainsmed01,Eddie,Ainsmith,1890,2,Eddie Ainsmith
ainswku01,Kurt,Ainsworth,1978,9,Kurt Ainsworth
aitchra01,Raleigh,Aitchison,1887,12,Raleigh Aitchison
aitonge01,George,Aiton,1890,12,George Aiton
akejo01,John,Ake,1861,8,John Ake
akerfda01,Darrel,Akerfelds,1962,6,Darrel Akerfelds
akerja01,Jack,Aker,1940,7,Jack Aker
akersbi01,Bill,Akers,1904,12,Bill Akers
akersje01,Jerry,Akers,1887,11,Jerry Akers
akinke01,Keegan,Akin,1995,4,Keegan Akin
akiyash01,Shogo,Akiyama,1988,4,Shogo Akiyama
alanirj01,R. J.,Alaniz,1991,6,R. J. Alaniz
albagi01,Gibson,Alba,1960,1,Gibson Alba
albaljo01,Jonathan,Albaladejo,1982,10,Jonathan Albaladejo
albanjo01,Joe,Albanese,1933,6,Joe Albanese
alberan01,Andrew,Albers,1985,10,Andrew Albers
alberbu01,Butch,Alberts,1950,5,Butch Alberts
albercy01,Cy,Alberts,1882,1,Cy Alberts
albergu01,Gus,Alberts,1860,9,Gus Alberts
