Player,playerID,sklearn_AVG,sklearn_R,sklearn_H,sklearn_HR,sklearn_RBI,sklearn_2B,sklearn_SB,sklearn_BB,sklearn_OBP,sklearn_SLG
Nolan Jones,jonesno01,0.221,32,54,5,26,10,8,34,0.307,0.309
Victor Caratini,caratvi01,0.222,17,54,5,21,8,0,17,0.289,0.315
Jake McCarthy,mccarja02,0.268,40,70,5,31,14,15,13,0.316,0.38
Nick Fortes,forteni01,0.248,25,50,4,25,11,1,9,0.28,0.358
Freddy Fermin,fermifr01,0.24,20,51,4,20,10,1,12,0.29,0.325
Kyle Farmer,farmeky01,0.21,17,35,4,18,7,1,9,0.278,0.326
Ezequiel Duran,duranez01,0.262,30,63,4,25,8,16,9,0.288,0.341
Curtis Mead,meadcu01,0.255,36,75,4,26,13,8,16,0.31,0.351
Chase Meidroth,meidrch01,0.261,52,111,4,32,20,13,39,0.341,0.329
Ben Williamson,willibe03,0.281,39,89,4,27,17,12,16,0.321,0.361
Dane Myers,myersda01,0.243,40,73,4,23,14,24,23,0.302,0.342
Mauricio Dubon,dubonma01,0.258,35,76,4,31,17,3,14,0.285,0.348
Dylan Carlson,carlsdy01,0.229,32,55,4,28,10,3,23,0.302,0.37
Dominic Smith,smithdo02,0.235,26,65,4,30,13,1,25,0.312,0.349
Masataka Yoshida,yoshima02,0.276,44,92,4,42,20,4,21,0.303,0.364
LaMonte Wade,wadela01,0.172,21,26,4,11,2,1,36,0.307,0.294
Xavier Edwards,edwarxa01,0.288,63,140,3,30,18,15,42,0.354,0.314
Alex Call,callal01,0.234,34,54,3,23,16,4,42,0.341,0.333
José Caballero,cabaljo01,0.23,55,75,3,22,11,32,38,0.311,0.306
Ke'Bryan Hayes,hayeske01,0.245,35,88,3,30,16,9,24,0.297,0.324
Nico Hoerner,hoernni01,0.3,71,145,3,41,28,19,32,0.329,0.339
Kyle Isbel,isbelky01,0.246,34,71,3,24,13,6,16,0.272,0.328
Max Schuemann,schuema01,0.25,35,60,3,17,9,14,37,0.336,0.317
Jose Trevino,trevijo01,0.257,24,50,3,21,8,0,11,0.278,0.361
Starling Marte,martest01,0.257,31,65,3,22,8,13,13,0.297,0.347
Christian Vazquez,vazquch01,0.223,14,33,3,17,3,2,12,0.255,0.255
Taylor Walls,wallsta01,0.225,35,58,2,25,7,18,31,0.297,0.294
Isiah Kiner-Falefa,kineris01,0.249,32,99,2,21,15,9,10,0.269,0.297
Tyler Freeman,freemty01,0.271,53,116,2,25,20,15,36,0.324,0.321
Jake Meyers,meyerja02,0.235,46,81,2,22,14,10,29,0.305,0.273
Miguel Rojas,rojasmi02,0.241,24,52,2,19,10,5,14,0.284,0.311
Victor Scott,scottvi01,0.237,51,69,2,28,14,45,35,0.315,0.284
Santiago Espinal,espinsa01,0.247,24,61,1,13,9,5,15,0.299,0.283
Luis Arraez,arraelu01,0.318,55,153,1,43,30,8,28,0.338,0.341
Nick Allen,allenni02,0.222,36,69,1,19,11,9,21,0.27,0.291
Jake Mangum,manguja01,0.29,40,113,0,26,14,18,13,0.311,0.316
Jose Iglesias,iglesjo01,0.228,11,28,0,6,8,4,0,0.248,0.241
Adam Frazier,fraziad01,0.22,28,63,0,13,10,5,18,0.266,0.275
Chandler Simpson,simpsch01,0.31,65,136,0,20,12,47,23,0.325,0.332
Myles Straw,strawmy01,0.257,44,62,0,17,11,12,30,0.313,0.342
Jacob Young,youngja03,0.227,38,74,0,16,10,21,25,0.311,0.27
