age,age_sq,n_seasons,prev_AVG,prev_R,prev_H,prev_HR,prev_RBI,prev_2B,prev_SB,prev_BB,prev_OBP,prev_SLG,prev_PA,prev_G,prev_SO,wavg3_AVG,wavg3_R,wavg3_H,wavg3_HR,wavg3_RBI,wavg3_2B,wavg3_SB,wavg3_BB,wavg3_OBP,wavg3_SLG,career_AVG,career_R,career_H,career_HR,career_RBI,career_2B,career_SB,career_BB,career_OBP,career_SLG,trend_AVG,trend_R,trend_H,trend_HR,trend_RBI,trend_2B,trend_SB,trend_BB,trend_OBP,trend_SLG
22,484,1,0.292,48,75,8,32.0,18,4.0,40,0.396,0.463,303.0,71,84.0,0.292,48.0,75.0,8.0,32.0,18.0,4.0,40.0,0.396,0.463,0.292,48.0,75.0,8.0,32.0,18.0,4.0,40.0,0.396,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,784,1,0.316,56,117,14,59.0,22,0.0,41,0.393,0.489,422.0,106,107.0,0.316,56.0,117.0,14.0,59.0,22.0,0.0,41.0,0.393,0.489,0.316,56.0,117.0,14.0,59.0,22.0,0.0,41.0,0.393,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1024,8,0.202,13,41,3,13.0,7,0.0,10,0.238,0.291,214.0,76,47.0,0.21766666666666667,34.166666666666664,82.0,10.0,32.666666666666664,15.666666666666666,0.8333333333333333,25.166666666666664,0.26283333333333336,0.3335,0.235375,39.25,89.625,10.375,39.125,15.5,5.0,27.5,0.28674999999999995,0.36287499999999995,-0.015999999999999986,-37.0,-79.0,-14.0,-33.0,-17.0,-2.0,-31.0,-0.03300000000000003,-0.063
35,1225,11,0.237,48,95,12,52.0,18,3.0,28,0.289,0.377,436.0,107,49.0,0.2535,59.166666666666664,124.66666666666666,15.666666666666666,65.16666666666666,21.0,2.6666666666666665,35.5,0.30533333333333335,0.3963333333333333,0.27981818181818185,80.45454545454545,151.54545454545453,29.545454545454547,97.36363636363636,31.09090909090909,2.4545454545454546,48.09090909090909,0.33754545454545454,0.506,-0.03500000000000003,-22.0,-62.0,-4.0,-19.0,-5.0,1.0,-16.0,-0.03600000000000003,-0.017000000000000015
26,676,2,0.22,44,95,11,54.0,25,8.0,27,0.274,0.363,471.0,129,162.0,0.21600000000000003,40.8,83.4,10.6,42.8,21.0,6.0,27.4,0.27440000000000003,0.35860000000000003,0.215,40.0,80.5,10.5,40.0,20.0,5.5,27.5,0.2745,0.3575,0.010000000000000009,8.0,29.0,1.0,28.0,10.0,5.0,-1.0,-0.0010000000000000009,0.01100000000000001
31,961,5,0.238,95,146,27,76.0,32,31.0,64,0.334,0.426,709.0,160,191.0,0.23433333333333334,89.0,136.33333333333331,24.0,71.83333333333333,30.166666666666664,25.833333333333332,69.66666666666666,0.3383333333333334,0.4131666666666667,0.2496,86.6,141.0,22.0,75.4,31.4,25.0,63.8,0.34260000000000007,0.42860000000000004,0.01899999999999999,18.0,26.0,7.0,16.0,-1.0,11.0,-9.0,0.0020000000000000018,0.03799999999999998
29,841,6,0.292,66,181,8,61.0,30,11.0,34,0.327,0.392,675.0,154,21.0,0.30966666666666665,72.5,191.0,7.0,57.33333333333333,30.666666666666664,9.0,30.833333333333332,0.3443333333333333,0.4048333333333333,0.31733333333333336,70.0,165.33333333333334,6.0,49.166666666666664,26.666666666666668,5.166666666666667,37.0,0.3661666666666667,0.4146666666666666,-0.02200000000000002,-17.0,-19.0,4.0,15.0,-2.0,2.0,10.0,-0.01899999999999996,0.0
32,1024,7,0.277,61,124,17,54.0,24,11.0,39,0.347,0.449,501.0,146,136.0,0.25583333333333336,56.83333333333333,106.0,13.666666666666666,50.666666666666664,20.333333333333332,14.5,29.333333333333332,0.3138333333333333,0.4068333333333333,0.24728571428571428,51.42857142857143,90.71428571428571,11.571428571428571,43.0,17.142857142857142,14.285714285714286,28.0,0.31014285714285716,0.3962857142857143,0.041000000000000036,4.0,29.0,5.0,3.0,5.0,-6.0,18.0,0.063,0.07600000000000001
34,1156,10,0.257,55,107,12,57.0,17,5.0,10,0.282,0.398,436.0,126,109.0,0.22683333333333333,45.5,89.0,9.5,50.666666666666664,15.5,7.166666666666666,13.0,0.25916666666666666,0.3511666666666667,0.24860000000000002,62.4,114.8,18.3,66.1,22.2,10.9,20.9,0.2878,0.42519999999999997,0.07300000000000001,30.0,57.0,6.0,20.0,5.0,-3.0,-2.0,0.06099999999999997,0.10400000000000004
27,729,3,0.222,47,91,6,55.0,18,1.0,30,0.277,0.325,452.0,135,133.0,0.22783333333333333,43.666666666666664,89.5,6.833333333333333,50.83333333333333,17.333333333333332,2.0,31.5,0.2853333333333333,0.33533333333333337,0.22966666666666669,40.666666666666664,87.0,7.0,49.666666666666664,17.333333333333332,2.0,30.0,0.2866666666666667,0.34099999999999997,-0.01200000000000001,1.0,-3.0,-2.0,9.0,2.0,-3.0,-9.0,-0.020999999999999963,-0.014000000000000012
26,676,1,0.24,32,72,11,38.0,15,5.0,21,0.29,0.407,328.0,103,86.0,0.24,32.0,72.0,11.0,38.0,15.0,5.0,21.0,0.29,0.407,0.24,32.0,72.0,11.0,38.0,15.0,5.0,21.0,0.29,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,625,1,0.274,56,111,19,80.0,18,0.0,38,0.341,0.469,446.0,124,68.0,0.274,56.0,111.0,19.0,80.0,18.0,0.0,38.0,0.341,0.469,0.274,56.0,111.0,19.0,80.0,18.0,0.0,38.0,0.341,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,729,2,0.243,61,112,21,74.0,32,4.0,36,0.301,0.454,501.0,135,121.0,0.2246,44.6,83.60000000000001,15.4,55.6,23.6,3.2,27.2,0.28059999999999996,0.41279999999999994,0.22,40.5,76.5,14.0,51.0,21.5,3.0,25.0,0.27549999999999997,0.40249999999999997,0.045999999999999985,41.0,71.0,14.0,46.0,21.0,2.0,22.0,0.05099999999999999,0.10300000000000004
30,900,3,0.249,21,71,4,30.0,12,1.0,40,0.355,0.34,332.0,93,93.0,0.24866666666666665,28.833333333333332,67.16666666666666,8.166666666666666,34.166666666666664,10.666666666666666,0.8333333333333333,31.666666666666664,0.33916666666666667,0.3846666666666667,0.243,31.0,64.66666666666667,9.333333333333334,33.333333333333336,9.666666666666666,1.0,29.333333333333332,0.3293333333333333,0.3886666666666667,-0.016000000000000014,-17.0,4.0,-9.0,-15.0,1.0,1.0,18.0,0.01799999999999996,-0.122
27,729,2,0.254,53,100,18,50.0,13,8.0,33,0.313,0.435,431.0,130,108.0,0.23720000000000002,48.2,90.0,14.399999999999999,43.6,12.600000000000001,5.6,31.400000000000002,0.2978,0.3902,0.23299999999999998,47.0,87.5,13.5,42.0,12.5,5.0,31.0,0.29400000000000004,0.379,0.04200000000000001,12.0,25.0,9.0,16.0,1.0,6.0,4.0,0.03799999999999998,0.11199999999999999
