Player,playerID,sklearn_ERA,sklearn_W,sklearn_L,sklearn_SO,sklearn_WHIP,sklearn_IP,sklearn_SV,sklearn_HR,sklearn_BB
Kodai Senga,sengako01,4.55,6,9,138,1.43,120,0,16,66
Robbie Ray,rayro02,4.55,12,10,168,1.31,176,0,26,81
Valente Bellozo,bellova01,4.55,3,3,55,1.32,71,0,13,18
Simeon Woods Richardson,woodssi01,4.56,9,8,132,1.36,132,0,18,52
Clarke Schmidt,schmicl01,4.56,8,8,130,1.36,135,0,17,46
Quinn Priester,priesqu01,4.58,12,12,134,1.43,171,0,24,57
Gavin Williams,williga01,4.59,9,10,140,1.51,123,0,15,62
Ryan Bergert,bergery01,4.6,6,7,108,1.38,102,0,15,46
Bowden Francis,francbo01,4.6,7,8,103,1.29,109,0,18,35
Dustin May,maydu01,4.61,6,10,115,1.25,123,0,17,41
Tanner Bibee,bibeeta01,4.66,11,10,165,1.38,174,0,25,49
Hurston Waldrep,waldrhu01,4.66,12,8,146,1.46,142,0,16,49
Chris Bassitt,bassich01,4.66,10,8,131,1.47,139,0,17,51
Merrill Kelly,kellyme01,4.69,12,9,157,1.3,171,0,23,53
Max Scherzer,scherma01,4.69,8,10,117,1.39,141,0,15,46
Charlie Morton,mortoch02,4.7,7,11,116,1.54,142,0,25,57
Martin Perez,perezma02,4.72,8,5,102,1.5,141,0,17,54
David Festa,festada01,4.76,6,5,108,1.27,96,0,15,40
Tristan Beck,becktr01,4.78,1,4,54,1.21,62,1,9,20
Ryne Nelson,nelsory01,4.8,9,8,117,1.33,147,0,20,40
Mitch Keller,kellemi03,4.81,12,12,146,1.35,174,0,23,60
Brandon Young,youngbr01,4.81,4,6,79,1.37,98,0,13,32
Jordan Hicks,hicksjo03,4.86,4,7,72,1.62,96,3,11,34
Tyler Alexander,alexaty01,4.86,3,2,62,1.27,74,1,10,16
Logan Allen,allenlo02,4.87,8,8,114,1.46,129,0,19,43
Noah Cameron,camerno01,4.9,9,10,136,1.32,156,0,22,51
Matthew Liberatore,liberma01,4.9,9,8,103,1.4,136,0,19,38
Jack Leiter,leiteja01,4.91,9,11,136,1.42,137,0,20,68
Ryan Gusto,gustory01,4.91,7,7,117,1.4,119,0,19,38
Hunter Dobbins,dobbihu01,4.94,9,7,97,1.47,122,0,18,41
Trevor Rogers,rogertr01,4.97,11,7,133,1.42,130,0,15,49
Slade Cecconi,ceccosl01,4.97,7,10,114,1.35,119,0,22,32
Max Meyer,meyerma01,4.98,5,6,99,1.38,107,0,18,31
Stephen Kolek,kolekst01,4.99,6,10,97,1.45,133,0,17,41
Michael Lorenzen,lorenmi01,4.99,5,8,100,1.41,126,0,18,36
Dean Kremer,kremede01,5.02,11,9,127,1.35,155,0,21,38
Tyler Mahle,mahlety01,5.02,10,9,118,1.33,135,0,17,51
Austin Gomber,gombeau01,5.03,4,12,71,1.62,105,0,17,31
Mitch Spence,spencmi01,5.05,4,4,72,1.4,86,1,13,30
Kumar Rocker,rockeku01,5.09,6,7,99,1.46,110,0,16,37
Michael Wacha,wachami01,5.14,9,13,104,1.44,161,0,23,51
Yu Darvish,darviyu01,5.16,8,11,126,1.38,142,0,20,38
Sandy Alcantara,alcansa01,5.17,9,12,117,1.56,159,0,24,56
Davis Martin,martida03,5.19,8,7,94,1.48,119,0,16,48
Clayton Kershaw,kershcl01,5.19,9,8,108,1.31,142,0,18,39
Jonathan Cannon,cannojo02,5.2,4,6,85,1.48,101,0,16,37
Shota Imanaga,imanash01,5.21,9,7,109,1.07,166,0,26,27
Chase Dollander,dollach01,5.21,3,7,78,1.49,108,0,12,42
Luis Gil,gillu01,5.22,8,12,150,1.49,156,0,23,66
Luis Severino,severlu01,5.22,7,10,101,1.48,147,0,20,44
Aaron Civale,civalaa01,5.22,5,6,88,1.46,101,0,15,32
Bryce Miller,millebr04,5.24,7,12,142,1.37,130,0,25,56
Jason Alexander,alexaja01,5.25,6,5,74,1.46,95,0,17,32
Kolby Allard,allarko01,5.28,1,3,44,1.36,63,2,10,8
Brandon Pfaadt,pfaadbr01,5.3,7,12,140,1.35,164,0,24,31
Jose Urena,urenajo01,5.32,3,4,64,1.51,97,0,12,32
Brayan Bello,bellobr01,5.34,9,10,120,1.55,170,0,20,58
Colin Rea,reaco01,5.34,10,7,98,1.35,140,0,22,37
Nick Martinez,martini01,5.36,7,8,81,1.31,117,0,18,30
Matt Boyd,boydma01,5.36,11,8,134,1.31,155,0,21,42
Bryce Elder,elderbr01,5.42,8,10,132,1.53,146,0,20,51
Zach Eflin,eflinza01,5.42,8,9,95,1.36,144,0,22,26
